"Sex" "Age" "Height"
"1" "F" 0 79
"2" "F" 0 83
"3" "F" 0 86
"4" "F" 0 90
"5" "F" 0 91
"6" "F" 0 93
"7" "F" 0 96
"8" "F" 0 102
"9" "F" 1 94
"10" "F" 1 96
"11" "F" 1 96
"12" "F" 1 99
"13" "F" 1 105
"14" "F" 1 107
"15" "F" 1 110
"16" "F" 1 114
"17" "F" 1 116
"18" "F" 1 116
"19" "F" 1 118
"20" "F" 1 119
"21" "F" 1 125
"22" "F" 2 110
"23" "F" 2 121
"24" "F" 2 129
"25" "F" 2 130
"26" "F" 2 136
"27" "F" 2 138
"28" "F" 3 122
"29" "F" 3 126
"30" "F" 3 131
"31" "F" 3 136
"32" "F" 3 137
"33" "F" 3 137
"34" "F" 3 140
"35" "F" 3 162
"36" "F" 3 165
"37" "F" 4 141
"38" "F" 4 142
"39" "F" 4 142
"40" "F" 4 145
"41" "F" 4 147
"42" "F" 4 148
"43" "F" 4 159
"44" "F" 4 163
"45" "F" 4 164
"46" "F" 4 166
"47" "F" 5 135
"48" "F" 5 136
"49" "F" 5 148
"50" "F" 5 152
"51" "F" 5 152
"52" "F" 5 156
"53" "F" 5 160
"54" "F" 5 168
"55" "F" 6 162
"56" "F" 6 165
"57" "F" 6 167
"58" "F" 6 174
"59" "F" 6 175
"60" "F" 6 177
"61" "F" 6 180
"62" "F" 6 180
"63" "F" 6 188
"64" "F" 7 151
"65" "F" 7 157
"66" "F" 7 159
"67" "F" 7 160
"68" "F" 7 165
"69" "F" 7 167
"70" "F" 7 169
"71" "F" 7 170
"72" "F" 7 171
"73" "F" 7 171
"74" "F" 7 172
"75" "F" 7 186
"76" "F" 7 188
"77" "F" 7 189
"78" "F" 8 167
"79" "F" 8 168
"80" "F" 8 169
"81" "F" 8 173
"82" "F" 8 175
"83" "F" 8 175
"84" "F" 8 175
"85" "F" 8 176
"86" "F" 8 178
"87" "F" 8 178
"88" "F" 8 179
"89" "F" 8 179
"90" "F" 8 181
"91" "F" 8 186
"92" "F" 8 187
"93" "F" 8 189
"94" "F" 8 200
"95" "F" 8 200
"96" "F" 8 201
"97" "F" 8 204
"98" "F" 9 168
"99" "F" 9 171
"100" "F" 9 174
"101" "F" 9 180
"102" "F" 9 188
"103" "F" 9 188
"104" "F" 9 201
"105" "F" 9 201
"106" "F" 9 205
"107" "F" 10 175
"108" "F" 10 176
"109" "F" 10 196
"110" "F" 10 196
"111" "F" 10 197
"112" "F" 10 214
"113" "F" 10 222
"114" "F" 11 168
"115" "F" 11 183
"116" "F" 11 193
"117" "F" 11 194
"118" "F" 11 196
"119" "F" 11 198
"120" "F" 11 199
"121" "F" 11 203
"122" "F" 11 205
"123" "F" 11 205
"124" "F" 11 207
"125" "F" 11 208
"126" "F" 11 212
"127" "F" 11 215
"128" "F" 11 216
"129" "F" 11 217
"130" "F" 11 229
"131" "F" 12 180
"132" "F" 12 187
"133" "F" 12 192
"134" "F" 12 195
"135" "F" 12 201
"136" "F" 12 205
"137" "F" 12 205
"138" "F" 12 206
"139" "F" 12 214
"140" "F" 12 214
"141" "F" 12 217
"142" "F" 12 220
"143" "F" 12 225
"144" "F" 12 229
"145" "F" 13 178
"146" "F" 13 184
"147" "F" 13 199
"148" "F" 13 213
"149" "F" 13 218
"150" "F" 13 221
"151" "F" 14 203
"152" "F" 15 192
"153" "F" 15 204
"154" "F" 15 213
"155" "F" 15 215
"156" "F" 15 225
"157" "M" 0 82
"158" "M" 0 85
"159" "M" 0 85
"160" "M" 0 86
"161" "M" 0 90
"162" "M" 0 91
"163" "M" 0 92
"164" "M" 0 94
"165" "M" 0 96
"166" "M" 0 99
"167" "M" 0 105
"168" "M" 0 108
"169" "M" 1 84
"170" "M" 1 98
"171" "M" 1 99
"172" "M" 1 99
"173" "M" 1 99
"174" "M" 1 102
"175" "M" 1 104
"176" "M" 1 110
"177" "M" 1 112
"178" "M" 1 114
"179" "M" 1 115
"180" "M" 1 116
"181" "M" 1 119
"182" "M" 1 120
"183" "M" 1 122
"184" "M" 1 122
"185" "M" 2 122
"186" "M" 2 130
"187" "M" 2 137
"188" "M" 2 138
"189" "M" 2 140
"190" "M" 3 113
"191" "M" 3 120
"192" "M" 3 121
"193" "M" 3 121
"194" "M" 3 125
"195" "M" 3 129
"196" "M" 3 150
"197" "M" 3 159
"198" "M" 3 167
"199" "M" 4 150
"200" "M" 4 152
"201" "M" 4 152
"202" "M" 4 152
"203" "M" 4 160
"204" "M" 4 162
"205" "M" 5 149
"206" "M" 5 151
"207" "M" 5 155
"208" "M" 5 157
"209" "M" 5 158
"210" "M" 5 160
"211" "M" 5 161
"212" "M" 5 163
"213" "M" 5 164
"214" "M" 5 166
"215" "M" 5 167
"216" "M" 5 168
"217" "M" 5 170
"218" "M" 5 173
"219" "M" 5 186
"220" "M" 6 152
"221" "M" 6 157
"222" "M" 6 157
"223" "M" 6 161
"224" "M" 6 168
"225" "M" 6 178
"226" "M" 6 182
"227" "M" 6 187
"228" "M" 6 190
"229" "M" 6 195
"230" "M" 6 200
"231" "M" 7 146
"232" "M" 7 151
"233" "M" 7 161
"234" "M" 7 168
"235" "M" 7 170
"236" "M" 7 170
"237" "M" 7 170
"238" "M" 7 172
"239" "M" 7 173
"240" "M" 7 175
"241" "M" 7 180
"242" "M" 7 180
"243" "M" 7 181
"244" "M" 7 183
"245" "M" 7 184
"246" "M" 7 187
"247" "M" 7 198
"248" "M" 7 199
"249" "M" 8 162
"250" "M" 8 162
"251" "M" 8 172
"252" "M" 8 173
"253" "M" 8 180
"254" "M" 8 181
"255" "M" 8 182
"256" "M" 8 188
"257" "M" 8 188
"258" "M" 8 193
"259" "M" 8 193
"260" "M" 8 199
"261" "M" 8 204
"262" "M" 9 178
"263" "M" 9 180
"264" "M" 9 182
"265" "M" 9 184
"266" "M" 9 190
"267" "M" 9 194
"268" "M" 9 195
"269" "M" 9 195
"270" "M" 9 206
"271" "M" 9 208
"272" "M" 9 210
"273" "M" 9 212
"274" "M" 10 189
"275" "M" 10 206
"276" "M" 10 208
"277" "M" 10 210
"278" "M" 10 217
"279" "M" 10 224
"280" "M" 11 201
"281" "M" 11 201
"282" "M" 11 210
"283" "M" 11 216
"284" "M" 11 223
"285" "M" 12 201
"286" "M" 12 202
"287" "M" 12 204
"288" "M" 12 206
"289" "M" 12 210
"290" "M" 12 212
"291" "M" 12 217
"292" "M" 12 221
"293" "M" 12 225
"294" "M" 12 225
"295" "M" 12 233
"296" "M" 12 234
"297" "M" 12 238
"298" "M" 12 238
"299" "M" 13 189
"300" "M" 13 200
"301" "M" 13 212
"302" "M" 13 220
"303" "M" 13 235
"304" "M" 13 249
"305" "M" 14 230
"306" "M" 15 215
"307" "M" 15 220
"308" "M" 15 222
"309" "M" 15 224
"310" "M" 15 243
"311" "M" 15 251
"312" "M" 15 257
