INNERSYS,INNERDIA,OUTERSYS,OUTERDIA,EXTSYS,EXTDIA,WEIGHT
3.8,1.9,2.4,1.5,10.8,10,1.432
3,1.7,2.8,1.7,11.6,12,1.226
2.9,1.9,2.4,1.7,12.8,12.8,1.46
3.6,2,2.5,1.7,13.5,13.6,1.354
4.3,2.8,2.7,2,14,14,2.211
3.6,2.3,2.8,1.7,12.7,13.1,1.212
3.8,2.5,2.9,2,15.9,15.2,1.8
3.7,2.7,3.5,2.5,14.7,16.2,1.758
3.3,2.2,3,1.8,14,14.3,1.701
3.6,2.6,2.6,2,11.5,12.4,1.51
3.6,2.3,2.7,2.2,11.7,13.8,1.914
4.4,2.9,3.6,2.6,18.1,18.6,2.998
3.3,2.3,3,2.1,14.5,16.8,2.261
3.8,2.5,2.3,1.5,15.2,16.2,2.24
3.8,2.6,3.3,2.6,15.4,16.8,1.8
2.4,1.4,2,1.3,8.6,8.9,1.276
2.7,2,2.4,1.8,11.7,12.5,1.517
5.3,3.8,3.8,2.2,19,18.9,3.296
3.4,2.3,2.6,2,14.6,15.1,1.878
3.3,2.4,2.4,1.6,11.1,11.9,1.751
3.6,2.1,2.3,1.7,13,14.1,1.396
3.1,1.9,2.2,1.7,11.9,13.2,1.772
3.9,2.3,3.1,2.2,15.7,16.7,2.998
3,1.8,2.3,1.3,9.4,9.8,1.205
2.3,1.7,1.5,1.2,10.9,12.2,1.637
3.3,2.4,2.8,1.6,14,14.4,1.311
2.5,1.3,2.3,1.2,8.4,9.7,1.091
2.2,1.9,2.1,1.5,10.9,11.5,1.155
2.7,2,2.5,1.6,11.7,12.3,1.035
2.6,1.4,2.3,1.4,10.4,10,0.999
2.9,2.2,2.4,1.4,14,14,1.559
2.7,2.2,1.8,1.4,11.3,11.9,1.481
3.3,2.3,2.8,2.1,10.7,12.7,1.658
1.7,1.3,1.5,1,7.1,8.1,1.5
4.6,3.7,4.3,2.4,17.2,18.7,4.683
3.3,2.2,2.3,1.5,10.6,11.8,1.662
5.1,3.8,4,3,17.9,19.9,4.241
4.7,3.2,3.8,2.3,15.9,17.2,4.572
4.8,3.2,3.4,2.1,13,15,4.1
3.9,3.1,3.8,2.6,14.8,17.2,3.72
5.3,4,3.7,2.1,16,17.5,4.315
4.7,3.3,3.5,2.2,16.9,18,4.32
3.5,2.5,3.8,2.2,13,15.6,3.39
3.4,2.2,3.1,2.3,13.4,13.9,4.01
4,2.1,4.4,3,15.1,16,2.97
5.3,3.3,4.8,3.3,14.8,15.7,3.431
