"","...1","Growth","Salinity","Temperature"
"1",1,5.92721485587741,"Low","Low"
"2",2,5.4766854319938,"Low","Low"
"3",3,5.65299730072843,"Low","Low"
"4",4,6.27795565283102,"Low","Low"
"5",5,6.30630355816898,"Low","Low"
"6",6,5.90605455613916,"Low","Low"
"7",7,5.80027893117255,"Low","Low"
"8",8,5.70681589712775,"Low","Low"
"9",9,5.72474055767719,"Low","Low"
"10",10,5.83918018092258,"Low","Low"
"11",11,6.39051169803594,"Low","Med"
"12",12,7.8016871160915,"Low","Med"
"13",13,7.9233366898413,"Low","Med"
"14",14,6.6092108792377,"Low","Med"
"15",15,7.55068141798568,"Low","Med"
"16",16,7.02594308528459,"Low","Med"
"17",17,6.5118579727472,"Low","Med"
"18",18,7.12937139424737,"Low","Med"
"19",19,7.43848103142336,"Low","Med"
"20",20,6.64637816713972,"Low","Med"
"21",21,9.76817174618073,"Low","High"
"22",22,7.9439334441303,"Low","High"
"23",23,9.69706763817348,"Low","High"
"24",24,8.10765419879986,"Low","High"
"25",25,9.30172515975892,"Low","High"
"26",26,9.13554397768103,"Low","High"
"27",27,8.2651138833774,"Low","High"
"28",28,8.62965123404228,"Low","High"
"29",29,9.09257721391774,"Low","High"
"30",30,8.74912749533303,"Low","High"
"31",31,8.15466084695556,"High","Low"
"32",32,7.5635028310531,"High","Low"
"33",33,8.86150746553098,"High","Low"
"34",34,8.26164764481104,"High","Low"
"35",35,8.00862869697685,"High","Low"
"36",36,8.07447895706048,"High","Low"
"37",37,8.93661225720842,"High","Low"
"38",38,7.53875536434706,"High","Low"
"39",39,7.58166080316778,"High","Low"
"40",40,8.18731532606017,"High","Low"
"41",41,7.6627079055645,"High","Med"
"42",42,7.39506301879628,"High","Med"
"43",43,7.64840064103501,"High","Med"
"44",44,7.25372479952599,"High","Med"
"45",45,6.80602310555927,"High","Med"
"46",46,6.2378289277076,"High","Med"
"47",47,7.46187915887688,"High","Med"
"48",48,8.17462505661689,"High","Med"
"49",49,7.58817278001383,"High","Med"
"50",50,7.37952725294923,"High","Med"
"51",51,5.95559245003479,"High","High"
"52",52,5.72333675892174,"High","High"
"53",53,5.59594350497326,"High","High"
"54",54,5.46886325712084,"High","High"
"55",55,6.08614626135868,"High","High"
"56",56,6.28735057622726,"High","High"
"57",57,6.41688037555002,"High","High"
"58",58,6.92426122112176,"High","High"
"59",59,5.90367617183938,"High","High"
"60",60,6.0627000037493,"High","High"
