"Tmt" "WtGain" "InitialWt"
"1" "standard" 5 21
"2" "standard" 3 24
"3" "standard" 8 21
"4" "standard" 7 22
"5" "standard" 6 23
"6" "standard" 4 26
"7" "standard" 8 22
"8" "standard" 6 23
"9" "standard" 7 24
"10" "standard" 5 20
"11" "standard" 5 27
"12" "standard" 2 28
"13" "standard" 4 28
"14" "standard" 5 30
"15" "standard" 10 18
"16" "standard" 3 27
"17" "standard" 8 19
"18" "standard" 6 20
"19" "standard" 6 19
"20" "standard" 3 22
"21" "intensive" 9 18
"22" "intensive" 8 18
"23" "intensive" 8 19
"24" "intensive" 8 19
"25" "intensive" 11 19
"26" "intensive" 8 21
"27" "intensive" 7 20
"28" "intensive" 6 21
"29" "intensive" 5 23
"30" "intensive" 7 23
"31" "intensive" 6 25
"32" "intensive" 9 25
"33" "intensive" 3 26
"34" "intensive" 7 24
"35" "intensive" 5 24
"36" "intensive" 7 25
"37" "intensive" 7 26
"38" "intensive" 5 27
"39" "intensive" 3 30
"40" "intensive" 8 29
