"","id","loc","time","w.e","cl","wind","temp","river","people","vehicle"
"1",1,1,2,1,1,2,2,1,37,15
"2",2,1,1,1,1,2,1,2,23,6
"3",3,1,2,1,1,2,2,3,87,31
"4",4,2,2,1,1,2,1,1,86,27
"5",5,2,1,1,1,2,2,2,19,2
"6",6,2,2,1,2,1,3,3,136,23
"7",7,1,2,2,2,2,2,3,14,8
"8",8,1,2,1,2,2,2,3,67,26
"9",9,1,1,2,1,3,1,2,4,3
"10",10,2,2,1,2,2,2,3,127,45
"11",11,2,2,2,1,2,2,1,43,7
"12",12,2,2,1,2,2,3,3,190,53
"13",13,2,2,1,1,1,1,1,50,22
"14",14,1,2,1,1,2,2,3,47,18
"15",15,1,2,1,1,2,2,1,32,10
"16",16,1,2,2,2,2,2,1,15,3
"17",17,2,2,2,2,2,3,2,33,11
"18",18,2,1,1,2,2,2,1,8,6
"19",19,2,2,1,1,2,2,2,46,15
"20",20,1,1,1,2,3,2,2,34,5
"21",21,1,2,2,2,2,2,3,7,3
"22",22,1,2,1,2,1,3,3,100,31
"23",23,1,1,1,2,2,1,3,10,6
"24",24,2,2,1,2,2,2,3,143,40
"25",25,2,1,1,2,2,2,3,61,20
"26",26,2,2,1,2,1,3,3,470,122
"27",27,1,2,2,2,2,2,3,28,9
"28",28,1,2,1,2,2,3,3,163,42
"29",29,2,2,2,1,2,2,3,62,18
"30",30,1,2,1,1,2,1,3,108,43
"31",31,2,2,2,2,1,3,3,22,11
"32",32,2,2,1,1,2,2,3,43,14
"33",33,1,2,2,2,2,3,3,52,6
