"","TELETIME","SEX","SCHOOL","STANDARD"
"1",1482,"1","1","4"
"2",2018,"1","1","4"
"3",1849,"1","1","4"
"4",857,"1","1","4"
"5",2027,"2","1","4"
"6",2368,"2","1","4"
"7",1783,"2","1","4"
"8",1769,"2","1","4"
"9",2534,"1","1","3"
"10",2366,"1","1","3"
"11",1518,"1","1","3"
"12",2696,"1","1","3"
"13",2270,"1","1","3"
"14",1752,"2","1","3"
"15",2028,"2","1","3"
"16",490,"1","1","2"
"17",1114,"1","1","2"
"18",2773,"2","1","2"
"19",1561,"2","1","2"
"20",2032,"2","1","2"
"21",2382,"2","1","2"
"22",2152,"1","2","4"
"23",2089,"1","2","4"
"24",2799,"1","2","4"
"25",1894,"2","2","4"
"26",1275,"2","2","4"
"27",1358,"1","2","3"
"28",1240,"2","2","3"
"29",1866,"2","2","3"
"30",2125,"1","2","2"
"31",1007,"1","2","2"
"32",1661,"1","2","2"
"33",1744,"2","2","2"
"34",2061,"2","2","2"
"35",1698,"1","3","4"
"36",1265,"1","3","4"
"37",1102,"1","3","4"
"38",1428,"2","3","4"
"39",2618,"2","3","4"
"40",749,"1","3","3"
"41",1005,"2","3","3"
"42",1180,"2","3","3"
"43",1171,"1","3","2"
"44",1262,"2","3","2"
"45",2007,"2","3","2"
"46",1122,"2","3","2"
